,Zipcode,Store,Distance
0,95035,Walgreens Co. #3671,0.78
1,95035,Walgreens Co. #5480,2.60
2,95132,Walgreens Co. #900,1.82
3,95133,Walgreens Co. #842,0.43
4,95116,Walgreens Co. #5454,1.20
5,95122,"CVS Pharmacy, Inc. #09810",0.27
6,95122,Walgreens Co. #2081,1.56
7,95112,Walgreens Co. #4372,0.37
8,95148,Walgreens Co. #3445,0.73
9,95121,Walgreens Co. #1179,0.03
10,95126,Walgreens Co. #3754,0.39
11,95050,Walgreens Co. #15246,0.16
12,95050,Walgreens Co. #2612,1.53
13,95050,"CVS Pharmacy, Inc. #09944",1.87
14,94539,SAFEWAY PHARMACY #1931,0.13
15,95125,Rite Aid #RA105988,1.95
16,95128,Rite Aid #RA105993,1.37
17,95136,"CVS Pharmacy, Inc. #09395",0.73
18,95136,SAFEWAY PHARMACY #316,0.96
19,95051,Rite Aid #RA105976,0.32
20,95051,Walgreens Co. #2740,0.68
21,94538,"CVS Pharmacy, Inc. #09099",1.36
22,94538,Walgreens Co. #2660,1.71
23,94538,Walgreens Co. #4517,2.01
24,94538,SAFEWAY PHARMACY #993,2.35
25,94550,Walgreens Co. #15163,0.33
26,94550,Rite Aid #RA105925,0.84
27,95118,Walgreens Co. #3378,0.61
28,95118,"CVS Pharmacy, Inc. #09995",1.90
29,95008,Walgreens Co. #2957,0.56
30,95008,Walgreens Co. #6585,2.09
31,95123,Walgreens Co. #2739,1.65
32,94087,Walgreens Co. #7080,0.60
33,94087,Walgreens Co. #3380,1.25
34,95138,Monterey Clinic,1.99
35,95129,SAFEWAY PHARMACY #1465,0.84
36,95129,Walgreens Co. #840,1.41
37,95124,Rite Aid #RA105987,0.99
38,95124,Walgreens Co. #2384,1.16
39,94536,"CVS Pharmacy, Inc. #09600",2.25
40,94560,"CVS Pharmacy, Inc. #09494",0.16
41,94040,Walgreens Co. #13948,0.90
42,94040,"CVS Pharmacy, Inc. #09346",1.08
43,94040,"CVS Pharmacy, Inc. #09987",2.32
44,94040,Walgreens Co. #689,2.50
45,95032,Walgreens Co. #2786,3.64
46,94566,"CVS Pharmacy, Inc. #10119",1.00
47,94566,Walgreens Co. #2150,1.13
48,95030,Walgreens Co. #7326,0.71
49,94555,Walgreens Co. #2366,1.19
50,94306,Walgreens Co. #3344,1.03
51,94306,Walgreens Co. #6869,1.14
52,94587,Rite Aid #RA105943,2.86
53,95014,Walgreens Co. #4416,1.59
54,94301,"CVS Pharmacy, Inc. #03935",0.13
55,94301,"CVS Pharmacy, Inc. #09915",0.44
56,94022,Walgreens Co. #7088,1.43
57,94022,SAFEWAY PHARMACY #2814,1.45
58,94588,Rite Aid #RA105944,1.69
59,94544,Walgreens Co. #2306,0.19
60,94544,Walgreens Co. #4659,1.66
61,95037,Rite Aid #RA105975,0.29
62,95037,Walgreens Co. #4516,1.39
63,94025,Walgreens Co. #7087,0.25
64,94025,PHARMACA INTEGRATIVE PHARMACY #MS1001467,0.31
65,94063,SAFEWAY PHARMACY #305,0.37
66,94541,"CVS Pharmacy, Inc. #00816",0.36
67,94541,Walgreens Co. #6502,1.98
68,94061,Rite Aid #RA105892,1.68
69,95377,Walgreens Co. #10766,2.52
70,94551,Rite Aid #RA106456,4.76
71,94582,SAFEWAY PHARMACY #2712,1.25
72,94070,Walgreens Co. #2126,0.23
73,95376,Rite Aid #RA106291,0.24
74,95376,SAFEWAY PHARMACY #2600,0.69
75,95376,Walgreens Co. #2434,0.81
76,94583,Rite Aid #RA105940,0.43
77,94583,SAFEWAY PHARMACY #982,0.43
78,94579,"CVS Pharmacy, Inc. #09876",0.19
79,94579,Walgreens Co. #2426,0.31
80,94578,Walgreens Co. #7274,1.23
81,95066,Walgreens Co. #6214,0.36
82,94002,Walgreens Co. #63,0.15
83,94506,"CVS Pharmacy, Inc. #09296",0.16
84,94506,SAFEWAY PHARMACY #1211,0.19
85,94577,Rite Aid #RA105937,1.28
